Name,Spotify ID,Spotify Profile,Spotify Genres,Image URL,Popularity
"Royal Blood",2S5hlvw4CMtMGswFtfdK15,https://open.spotify.com/artist/2S5hlvw4CMtMGswFtfdK15,"brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock",https://i.scdn.co/image/ab6761610000e5eb731a9ef85c9a9b208399770f,61
"St. Vincent",7bcbShaqKdcyjnmv4Ix8j6,https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6,"art pop,etherpop,indie rock,indietronica,metropopolis,neo-synthpop",https://i.scdn.co/image/ab6761610000e5ebbb8bc9aace3d4d39d7cfd6f1,63
"White Reaper",75klPfIVnyYcyEGaicRUSF,https://open.spotify.com/artist/75klPfIVnyYcyEGaicRUSF,"indie punk,louisville indie,modern power pop",https://i.scdn.co/image/ab6761610000e5eb0b9e56face673e872ccdf2d9,42
"YB",1rpgxJZxZMLnFNc1Jmyov5,https://open.spotify.com/artist/1rpgxJZxZMLnFNc1Jmyov5,"k-rock,korean indie rock",https://i.scdn.co/image/ab6761610000e5eb1ecf93514aaa79d02826707e,33
"Biffy Clyro",1km0R7wy712AzLkA1WjKET,https://open.spotify.com/artist/1km0R7wy712AzLkA1WjKET,"modern rock,scottish rock",https://i.scdn.co/image/ab6761610000e5eb5a8702315c7ddff8eb7b69ba,54
"The Chats",1aQ7P3HtKOQFW16ebjiks1,https://open.spotify.com/artist/1aQ7P3HtKOQFW16ebjiks1,"australian garage punk,brisbane punk",https://i.scdn.co/image/ab6761610000e5eba43a92d50e11b126604d710e,49
"OFF!",4fY9hRf8gHMOszNWFhR1wB,https://open.spotify.com/artist/4fY9hRf8gHMOszNWFhR1wB,"hardcore punk,punk",https://i.scdn.co/image/ab6761610000e5eb57688e3e37f87319bfd0e891,30
"PUP",6A7uqgC2N1nUhrCLAytHxN,https://open.spotify.com/artist/6A7uqgC2N1nUhrCLAytHxN,"alternative emo,bubblegrunge,canadian indie,canadian pop punk,canadian punk,emo,indie punk,toronto indie",https://i.scdn.co/image/ab6761610000e5eb3c01e2c45dcbdca5a953b469,48
"Corey Taylor",0nhDd1RWjZ6SDV1Vg1Ku2Q,https://open.spotify.com/artist/0nhDd1RWjZ6SDV1Vg1Ku2Q,"alternative metal,alternative rock,nu metal,post-grunge",https://i.scdn.co/image/ab6761610000e5eb010a6b118f23106c00bef4a9,54
"Cage The Elephant",26T3LtbuGT1Fu9m0eRq5X3,https://open.spotify.com/artist/26T3LtbuGT1Fu9m0eRq5X3,"modern alternative rock,modern rock,pov: indie,punk blues,rock",https://i.scdn.co/image/ab6761610000e5eb4b895ec91da05e35c650fa60,73
"Vishal Dadlani",6CXEwIaXYfVJ84biCxqc9k,https://open.spotify.com/artist/6CXEwIaXYfVJ84biCxqc9k,"filmi,modern bollywood",https://i.scdn.co/image/ab6761610000e5eb76328e37a2c1280ab9adb90c,71
"DIVINE",4Ai0pGz6GhQavjzaRhPTvz,https://open.spotify.com/artist/4Ai0pGz6GhQavjzaRhPTvz,"desi hip hop,desi trap,hindi hip hop",https://i.scdn.co/image/ab6761610000e5ebe4bae1cd1803402a906b61ba,66
"Shor Police",58Wsx9FbcjSM8a6kzLf03W,https://open.spotify.com/artist/58Wsx9FbcjSM8a6kzLf03W,"",https://i.scdn.co/image/ab6761610000e5eb296cb8cb713b666b22df731d,17
"Diet Cig",6ommlbuccgdiKSgjvVlQ4W,https://open.spotify.com/artist/6ommlbuccgdiKSgjvVlQ4W,"bubblegrunge,indie punk",https://i.scdn.co/image/ab6761610000e5eb9a0962323fbf23d1e625f3d1,27
"Flatbush Zombies",1dqGS5sT6PE2wEvP1gROZC,https://open.spotify.com/artist/1dqGS5sT6PE2wEvP1gROZC,"psychedelic hip hop,underground hip hop",https://i.scdn.co/image/ab6761610000e5eb48807b66b83a3ce51ee9504f,53
"DJ Scratch",4vBBOm1tR7WToK4DZmDZAd,https://open.spotify.com/artist/4vBBOm1tR7WToK4DZmDZAd,"",https://i.scdn.co/image/ab6761610000e5ebb886d90aafad5d8ad5e96e13,22
"Ha*Ash",5xd2Tg7Zo8755eCy8Gxkp8,https://open.spotify.com/artist/5xd2Tg7Zo8755eCy8Gxkp8,"latin arena pop,latin pop,mexican pop",https://i.scdn.co/image/ab6761610000e5ebaae7c43a4f71d534555d6e36,72
"José Madero",62nVRNDLaS8m1p31F6omGw,https://open.spotify.com/artist/62nVRNDLaS8m1p31F6omGw,"mexican indie",https://i.scdn.co/image/ab6761610000e5eb3ed411c2b88b61821064dd7c,61
"Moses Sumney",5W10uJRsbt9bROJDKoI1Wn,https://open.spotify.com/artist/5W10uJRsbt9bROJDKoI1Wn,"alternative r&b,art pop,indie soul,la pop",https://i.scdn.co/image/ab6761610000e5ebfd650ed577201c1fe030e293,56
"J Balvin",1vyhD5VmyZ7KMfW5gqLgo5,https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5,"reggaeton,reggaeton colombiano,trap latino,urbano latino",https://i.scdn.co/image/ab6761610000e5ebeacb832512fec776bbdac3a6,84
